date,Cost per transaction (USD),Mining Difficulty (Hash/S),Miner Daily Revenue (USD)
2009-01-01,0,0,0
2009-02-01,0,1,0
2009-03-01,0,1,0
2009-04-01,0,1,0
2009-05-01,0,1,0
2009-06-01,0,1,0
2009-07-01,0,1,0
2009-08-01,0,1,0
2009-09-01,0,1,0
2009-10-01,0,1,0
2009-11-01,0,1,0
2009-12-01,0,1,0
2010-01-01,0,1,0
2010-02-01,0,2,0
2010-03-01,0,4,0
2010-04-01,0,8,0
2010-05-01,0,12,0
2010-06-01,0,17,0
2010-07-01,0,116,0
2010-08-01,0,421,293
2010-09-01,1,768,574
2010-10-01,2,1722,1181
2010-11-01,6,5300,3124
2010-12-01,4,11669,2243
2011-01-01,3,17547,3218
2011-02-01,6,30899,10055
2011-03-01,2,70629,7319
2011-04-01,4,83672,10687
2011-05-01,14,196847,66512
2011-06-01,20,796081,222384
2011-07-01,14,1576100,116790
2011-08-01,10,1847243,91145
2011-09-01,6,1757755,47718
2011-10-01,4,1578764,27014
2011-11-01,3,1197979,24262
2011-12-01,5,1132537,32402
2012-01-01,8,1249683,63895
2012-02-01,5,1371117,43239
2012-03-01,5,1510462,44095
2012-04-01,5,1590437,40813
2012-05-01,2,1637395,39818
2012-06-01,1,1628563,53060
2012-07-01,2,1816915,83537
2012-08-01,2,2194562,107533
2012-09-01,3,2711403,125881
2012-10-01,3,3044425,114469
2012-11-01,2,3350017,104445
2012-12-01,1,3324165,54468
2013-01-01,1,3139412,60772
2013-02-01,1,3366570,121952
2013-03-01,4,5133618,255805
2013-04-01,9,8336130,544526
2013-05-01,8,10936102,498441
2013-06-01,10,17326830,511844
2013-07-01,10,26242837,404459
2013-08-01,9,49447890,571059
2013-09-01,11,107470170,651837
2013-10-01,15,249099552,916302
2013-11-01,32,545998579,2388768
2013-12-01,62,929839788,4791406
2014-01-01,65,1743281708,4485872
2014-02-01,48,2799750931,3613413
2014-03-01,38,4227748805,3264025
2014-04-01,34,6240799613,2486032
2014-05-01,32,8980392199,2376166
2014-06-01,46,12815070963,3126843
2014-07-01,39,17409199651,2596052
2014-08-01,34,21177014703,2580279
2014-09-01,26,29112351293,2109212
2014-10-01,19,35177600790,1625726
2014-11-01,17,39520409283,1516752
2014-12-01,15,39761826794,1504182
2015-01-01,11,42369500424,1181464
2015-02-01,9,43946445412,1003134
2015-03-01,10,47065917632,1152368
2015-04-01,9,48622758731,1076945
2015-05-01,8,48222159281,933812
2015-06-01,7,48762778363,994152
2015-07-01,7,50795312679,1190096
2015-08-01,9,53082571272,1150762
2015-09-01,7,57638627753,1017660
2015-10-01,7,60985540456,1169366
2015-11-01,8,65785451180,1569188
2015-12-01,9,85411797097,1923614
2016-01-01,8,110900200000,1774197
2016-02-01,7,147049800000,1643672
2016-03-01,8,162468500000,1626094
2016-04-01,7,173945700000,1668981
2016-05-01,8,190212400000,1779450
2016-06-01,10,201053900000,2516584
2016-07-01,7,212733818181,1544316
2016-08-01,4,210131200000,1147261
2016-09-01,5,226881000000,1210656
2016-10-01,5,252794000000,1185205
2016-11-01,5,265292000000,1453769
2016-12-01,5,299932000000,1650132
2017-01-01,7,347955300000,1958390
2017-02-01,7,425128666666,2249337
2017-03-01,8,467916454545,2417828
2017-04-01,9,512559500000,2652827
2017-05-01,13,559357500000,4508920
2017-06-01,22,683741900000,6068335
2017-07-01,22,767477200000,5509271
2017-08-01,30,896486090909,7955321
2017-09-01,37,1002545200000,9264778
2017-10-01,38,1217444000000,11618376
2017-11-01,52,1387462000000,16718045
2017-12-01,110,1655004000000,38824078
2018-01-01,118,2200050000000,34292277
2018-02-01,99,2859085555555,18831790
2018-03-01,95,3325356000000,17259747
2018-04-01,79,3691787000000,16082633
2018-05-01,85,4144055454545,16715686
2018-06-01,70,4932045000000,13346985
2018-07-01,68,5348252000000,13813809
2018-08-01,61,6305790000000,13419411
2018-09-01,54,6996033000000,12501331
2018-10-01,45,7295548181818,11211043
2018-11-01,33,6918850000000,9193723
2018-12-01,25,5482639000000,6563238
2019-01-01,22,5768763000000,6629323
2019-02-01,20,5972777000000,6577568
2019-03-01,24,6161857000000,7346259
2019-04-01,26,6378273000000,9640987
2019-05-01,39,6668240000000,14567169
2019-06-01,53,7487071000000,18648177
2019-07-01,63,8742390909090,21171189
2019-08-01,62,9970599000000,20683487
2019-09-01,59,11542790000000,19478817
2019-10-01,48,13076390000000,15595140
2019-11-01,48,13085250000000,14626671
2019-12-01,42,12921890909090,13344139
2020-01-01,51,14454330000000,16076159
2020-02-01,53,15508000000000,17421010
2020-03-01,42,15764010000000,12588921
2020-04-01,47,14895940000000,13767352
2020-05-01,39,15708540000000,11960697
2020-06-01,30,14821710000000,9206432
2020-07-01,29,16616909090909,9702053
2020-08-01,37,17079090000000,11753529
2020-09-01,34,18159240000000,11146643
2020-10-01,38,19602600000000,11450600
2020-11-01,56,17457630000000,18060611
2020-12-01,71,18877627272727,22387001
2021-01-01,111,20146450000000,36444815
2021-02-01,150,21395211111111,47161411
2021-03-01,192,21657109090909,57697073
2021-04-01,205,23367720000000,55326086
2021-05-01,184,22888200000000,46890724
2021-06-01,125,20378760000000,27949692
2021-07-01,151,14642370000000,31961298
2021-08-01,187,15603618181818,44771891
2021-09-01,179,18451660000000,44324194
